algorithm,size,trial,seconds
InsertionSort,10,0,2.64958E-4
InsertionSort,10,1,1.4833E-5
InsertionSort,10,2,4.9333E-5
InsertionSort,10,3,6.25E-6
InsertionSort,10,4,2.2958E-5
InsertionSort,100,0,2.66083E-4
InsertionSort,100,1,1.93959E-4
InsertionSort,100,2,2.37375E-4
InsertionSort,100,3,1.89625E-4
InsertionSort,100,4,2.13417E-4
InsertionSort,1000,0,0.006611917
InsertionSort,1000,1,0.003413875
InsertionSort,1000,2,0.010301125
InsertionSort,1000,3,5.70125E-4
InsertionSort,1000,4,4.83542E-4
InsertionSort,10000,0,0.059752
InsertionSort,10000,1,0.060248583
InsertionSort,10000,2,0.049495334
InsertionSort,10000,3,0.052705791
InsertionSort,10000,4,0.0579765
InsertionSort,100000,0,10.519584
InsertionSort,100000,1,7.559239583
InsertionSort,100000,2,8.914865375
InsertionSort,100000,3,10.779953292
InsertionSort,100000,4,9.523453417
SelectionSort,10,0,6.63958E-4
SelectionSort,10,1,5.042E-6
SelectionSort,10,2,4.667E-6
SelectionSort,10,3,5.042E-6
SelectionSort,10,4,4.75E-6
SelectionSort,100,0,2.92083E-4
SelectionSort,100,1,2.9375E-4
SelectionSort,100,2,2.92E-4
SelectionSort,100,3,2.91625E-4
SelectionSort,100,4,2.91166E-4
SelectionSort,1000,0,0.008551375
SelectionSort,1000,1,0.005339709
SelectionSort,1000,2,0.00530725
SelectionSort,1000,3,0.010800291
SelectionSort,1000,4,6.41542E-4
SelectionSort,10000,0,0.055848334
SelectionSort,10000,1,0.055912166
SelectionSort,10000,2,0.056046292
SelectionSort,10000,3,0.059049375
SelectionSort,10000,4,0.059671
SelectionSort,100000,0,5.477841084
SelectionSort,100000,1,5.479096417
SelectionSort,100000,2,5.517690291
SelectionSort,100000,3,5.473105292
SelectionSort,100000,4,5.483614042
QuickSort,10,0,1.5575E-4
QuickSort,10,1,4.083E-6
QuickSort,10,2,3.875E-6
QuickSort,10,3,4.0E-6
QuickSort,10,4,5.166E-6
QuickSort,100,0,6.0292E-5
QuickSort,100,1,7.4041E-5
QuickSort,100,2,6.8167E-5
QuickSort,100,3,7.475E-5
QuickSort,100,4,5.9458E-5
QuickSort,1000,0,3.87042E-4
QuickSort,1000,1,1.99166E-4
QuickSort,1000,2,2.15958E-4
QuickSort,1000,3,2.58584E-4
QuickSort,1000,4,2.13833E-4
QuickSort,10000,0,0.00306675
QuickSort,10000,1,0.001914541
QuickSort,10000,2,0.00116725
QuickSort,10000,3,0.001209375
QuickSort,10000,4,0.001200708
QuickSort,100000,0,0.0257055
QuickSort,100000,1,0.016347291
QuickSort,100000,2,0.014515583
QuickSort,100000,3,0.014064125
QuickSort,100000,4,0.015084458
MergeSort,10,0,0.002084875
MergeSort,10,1,4.2E-5
MergeSort,10,2,3.175E-5
MergeSort,10,3,2.5833E-5
MergeSort,10,4,2.3583E-5
MergeSort,100,0,2.87542E-4
MergeSort,100,1,2.37333E-4
MergeSort,100,2,1.76792E-4
MergeSort,100,3,1.89E-4
MergeSort,100,4,1.37333E-4
MergeSort,1000,0,7.14834E-4
MergeSort,1000,1,3.68375E-4
MergeSort,1000,2,3.56875E-4
MergeSort,1000,3,3.57209E-4
MergeSort,1000,4,3.62208E-4
MergeSort,10000,0,0.00431325
MergeSort,10000,1,0.002594375
MergeSort,10000,2,0.001921333
MergeSort,10000,3,0.001876542
MergeSort,10000,4,0.001950625
MergeSort,100000,0,0.022147625
MergeSort,100000,1,0.015532542
MergeSort,100000,2,0.016683167
MergeSort,100000,3,0.015512209
MergeSort,100000,4,0.016878333
BuiltInSort,10,0,0.002078959
BuiltInSort,10,1,7.834E-6
BuiltInSort,10,2,7.333E-6
BuiltInSort,10,3,6.875E-6
BuiltInSort,10,4,6.25E-6
BuiltInSort,100,0,8.6E-5
BuiltInSort,100,1,4.3208E-5
BuiltInSort,100,2,4.1791E-5
BuiltInSort,100,3,3.9375E-5
BuiltInSort,100,4,4.1167E-5
BuiltInSort,1000,0,5.03167E-4
BuiltInSort,1000,1,4.53E-4
BuiltInSort,1000,2,4.78125E-4
BuiltInSort,1000,3,3.26792E-4
BuiltInSort,1000,4,3.29292E-4
BuiltInSort,10000,0,0.002689083
BuiltInSort,10000,1,0.001551375
BuiltInSort,10000,2,0.001508375
BuiltInSort,10000,3,0.001591542
BuiltInSort,10000,4,0.001504667
BuiltInSort,100000,0,0.036553459
BuiltInSort,100000,1,0.040654917
BuiltInSort,100000,2,0.02066525
BuiltInSort,100000,3,0.026745708
BuiltInSort,100000,4,0.03472025
